Model,Dataset,Porosity,Permeability,Min_Local_Thickness,Mean_Local_Thickness,Max_Local_Thickness,Minkowski_Volume,Minkowski_Surface_Area,Minkowski_Mean_Curvature,Minkowski_Euler_Characteristic,Bias_Error_,Magnitude_Error_,Correlation
Ko et. al (Etapa 0),Spherical Pores,0.6025376157407407,1156.789306640625,1.0,7.8444479722668135,10.891451493412363,1036009.9999999999,31778.92905274051,244.70663368970037,-80.69155614759094,5.822232723236084,37.39326858520508,0.8311438168732266
Ko et. al (Etapa 0),Spherical Pores,0.6025376157407407,1156.7891845703125,1.0,7.844447972266816,10.891451493412363,1036009.9999999999,31778.929052740503,244.7066336897004,-80.69155614759094,7.986639022827148,36.65989303588867,0.8436125151657141
Ko et. al (Etapa 0),Spherical Pores,0.5973605324074074,1055.3897705078125,1.0,7.904287706418849,12.36931685293693,1026023.0,31935.996694916757,262.58933283653346,-83.88460219337209,1.623781442642212,38.82719421386719,0.8241656973596272
Ko et. al (Etapa 0),Spherical Pores,0.5973605324074074,1055.3897705078125,1.0,7.9042877064188515,12.36931685293693,1026023.0,31935.996694916746,262.58933283653346,-83.88460219337209,3.260685443878174,36.95164108276367,0.824899658591294
Ko et. al (Etapa 0),Spherical Pores,0.5973605324074074,1055.3897705078125,1.0,7.904287706418846,12.36931685293693,1026023.0,31935.996694916757,262.58933283653346,-83.88460219337209,1.6247756481170654,39.550933837890625,0.827377402445046
Ko et. al (Etapa 0),Spherical Pores,0.5973605324074074,1055.3897705078125,1.0,7.904287706418849,12.36931685293693,1026023.0,31935.996694916757,262.5893328365334,-83.88460219337209,2.9265246391296387,37.58649444580078,0.8285782439065768
Ko et. al (Etapa 1),Spherical Pores,0.5118755787037037,1308.8135986328125,1.0,11.39140019400909,18.110771637517,881341.0,21965.663125863146,334.5224287423813,-20.01373409380584,13.643057823181152,35.30172348022461,0.8942806447899718
Ko et. al (Etapa 1),Spherical Pores,0.5118755787037037,1308.8138427734375,1.0,11.391400194009089,18.110771637517,881341.0,21965.663125863146,334.5224287423812,-20.01373409380584,9.641104698181152,36.43119812011719,0.8760123707823351
Ko et. al (Etapa 1),Spherical Pores,0.5118755787037037,1308.8138427734375,1.0,11.391400194009089,18.110771637517,881341.0,21965.663125863146,334.5224287423812,-20.01373409380584,2.7660045623779297,34.279415130615234,0.8819568385810088
Ko et. al (Etapa 1),Spherical Pores,0.5118755787037037,1308.8138427734375,1.0,11.39140019400909,18.110771637517,881341.0,21965.663125863146,334.5224287423813,-20.01373409380584,3.551448106765747,32.79270935058594,0.9094583144890435
Ko et. al (Etapa 1),Spherical Pores,0.45336921296296295,844.1255493164062,1.0,11.843540382505221,18.658129485507295,779341.0,17905.04622647963,297.2008747089705,-5.540581456386607,10.947978973388672,40.937442779541016,0.8618879723921338
Ko et. al (Etapa 1),Spherical Pores,0.45336921296296295,844.12548828125,1.0,11.84354038250522,18.658129485507295,779341.0,17905.046226479633,297.2008747089706,-5.540581456386607,10.299717903137207,34.146663665771484,0.8871285962899506
Ko et. al (Etapa 1),Spherical Pores,0.45336921296296295,844.1255493164062,1.0,11.843540382505218,18.658129485507295,779341.0,17905.046226479633,297.2008747089705,-5.540581456386607,4.160037517547607,37.9769172668457,0.8676221670303478
Ko et. al (Etapa 1),Spherical Pores,0.45336921296296295,844.12548828125,1.0,11.843540382505225,18.658129485507295,779341.0,17905.04622647963,297.2008747089705,-5.540581456386607,5.204641342163086,36.40310287475586,0.8694426526325206
